Make_Model,Make,Model,Range,NY_Rebate,Base_MSRP,Federal_Credit,Fuel_Economy,Type
Tesla Model S,Tesla,Model S,405,$500 ,"$94,990 ",$0 ,120,Battery Electric Vehicle
Mercedes EQS 450+,Mercedes,EQS 450+,350,$500 ,"$102,310 ","$7,500 ",97,Battery Electric Vehicle
Tesla Model X,Tesla,Model X,348,$500 ,"$104,990 ",$0 ,102,Battery Electric Vehicle
Mercedes EQS 580,Mercedes,EQS 580,340,$500 ,"$119,110 ","$7,500 ",95,Battery Electric Vehicle
Tesla Model Y,Tesla,Model Y,316,$500 ,"$58,990 ",$0 ,122,Battery Electric Vehicle
Kia EV6 77 kWh,Kia,EV6 77 kWh,292,$500 ,"$47,000 ","$7,500 ",111,Battery Electric Vehicle
Tesla Model 3,Tesla,Model 3,272-315,$500 ,"$44,990 ",$0 ,132,Battery Electric Vehicle
Polestar 2,Polestar,2,270,$500 ,"$45,900 ","$7,500 ",107,Battery Electric Vehicle
Chevrolet Bolt,Chevrolet,Bolt,259,"$2,000 ","$31,000 ",$0 ,120,Battery Electric Vehicle
Hyundai Kona Electric,Hyundai,Kona Electric,258,"$2,000 ","$34,000 ","$7,500 ",120,Battery Electric Vehicle
Hyundai Ioniq 5 77 kWh,Hyundai,Ioniq 5 77 kWh,256,$500 ,"$43,650 ","$7,500 ",98,Battery Electric Vehicle
Volkswagen ID.4,Volkswagen,ID.4,250,"$2,000 ","$39,995 ","$7,500 ",97,Battery Electric Vehicle
Chevrolet Bolt EUV,Chevrolet,Bolt EUV,247,"$2,000 ","$33,000 ",$0 ,115,Battery Electric Vehicle
Audi Q4 e-tron,Audi,Q4 e-tron,241,$500 ,"$43,900 ","$7,500 ",95,Battery Electric Vehicle
Kia Niro Electric,Kia,Niro Electric,239,"$2,000 ","$39,990 ","$7,500 ",112,Battery Electric Vehicle
Audi e-tron GT,Audi,e-tron GT,238,$500 ,"$99,900 ","$7,500 ",82,Battery Electric Vehicle
Jaguar I-PACE,Jaguar,I-PACE,234,$500 ,"$69,850 ","$7,500 ",76,Battery Electric Vehicle
Audi RS e-tron GT,Audi,RS e-tron GT,232,$500 ,"$139,900 ","$7,500 ",81,Battery Electric Vehicle
Kia EV6 58 kWh,Kia,EV6 58 kWh,232,"$2,000 ","$40,900 ","$7,500 ",117,Battery Electric Vehicle
Nissan Leaf  62 kWh,Nissan,Leaf  62 kWh,226,"$2,000 ","$32,400 ","$7,500 ",108,Battery Electric Vehicle
